Class,Section,Days & Times,Room,Instructor,Meeting Dates,Status
PHI 197,"M004-SEC Regular",MoWe 2:15PM - 3:35PM,Hall of Languages 211,J. Lee,01/13/2025 - 04/28/2025,N/A
PHI 197,"U800-SEC Regular",TBA,ONLINE ASYNCHRONOUS,K. Richardson,01/13/2025 - 04/28/2025,N/A
PHI 251,"M001-SEC Regular",MoWe 10:35AM - 11:30AM,MARLEY ROOM 216,M. Rieppel,01/13/2025 - 04/28/2025,N/A
PHI 251,"M002-DISRegular",Fr 10:35AM - 11:30AM,Heroy Geology Building 013,S. Alvarez,01/17/2025 - 04/25/2025,N/A
PHI 251,"M003-DISRegular",Fr 9:30AM - 10:25AM,TOLLEY204,S. Alvarez,01/17/2025 - 04/25/2025,N/A
PHI 251,"M004-DISRegular",Fr 12:45PM - 1:40PM,Hall of Languages 211,T. Pan,01/17/2025 - 04/25/2025,N/A
PHI 251,"M008-DISRegular",Th 2:00PM - 2:55PM,Smith Hall 330,J. Liebergen,01/16/2025 - 04/24/2025,N/A
PHI 251,"M101-SEC Regular",MoWe 12:45PM - 2:05PM,Life Science Building 300,S. Lee,01/13/2025 - 04/28/2025,N/A
PHI 251,"M102-SEC Regular",TuTh 11:00AM - 12:20PM,Smith Hall 337,H. Shirmohammadi,01/14/2025 - 04/24/2025,N/A
PHI 251,"M104-SEC Regular",TuTh 2:00PM - 3:20PM,Maxwell Hall 111,H. Shirmohammadi,01/14/2025 - 04/24/2025,N/A
PHI 251,"U800-SEC Regular",TBA,ONLINE ASYNCHRONOUS,J. Lee,01/13/2025 - 04/28/2025,N/A
PHI 293,"M001-SEC Regular",TuTh 12:30PM - 1:25PM,Life Science Building 105,W. Osborne III,01/14/2025 - 04/24/2025,N/A
PHI 293,"M004-DISRegular",We 12:45PM - 1:40PM,Newhouse 2 345,A. Harrison,01/15/2025 - 04/23/2025,N/A
PHI 297,"M001-SEC Regular",MoWe 2:15PM - 3:35PM,HB CROUSE 213B located on quad,Y. Cimendereli,01/13/2025 - 04/28/2025,N/A
PHI 300,"M002-SEC Regular",MoWe 12:45PM - 2:05PM,Bowne Hall 306D,K. Nisenbaum,01/13/2025 - 04/28/2025,N/A
PHI 321,"M001-SEC Regular",MoWe 3:45PM - 5:05PM,Heroy Geology Building 113,M. Rieppel,01/13/2025 - 04/28/2025,N/A
PHI 325,"M001-SEC Regular",TuTh 2:00PM - 3:20PM,Hall of Languages 101,G. Lambert,01/14/2025 - 04/24/2025,N/A
PHI 363,"U801-SEC Winterlude",TBA,ONLINE ASYNCHRONOUS,D. Morgan,12/18/2024 - 01/10/2025,N/A
PHI 393,"M001-SEC Regular",MoWe 5:15PM - 6:35PM,Smith Hall 337,D. Sobel,01/13/2025 - 04/28/2025,N/A
PHI 401,"M001-SEC Regular",TuTh 9:30AM - 10:50AM,Hall of Languages 101,H. Paakkunainen,01/14/2025 - 04/24/2025,N/A
PHI 422,"M001-SEC Regular",Tu 5:00PM - 7:45PM,TOLLEY304,G. Lambert,01/14/2025 - 04/22/2025,N/A
PHI 499,"M001-SEC Regular",TBA,TBA,Staff,01/13/2025 - 04/28/2025,N/A
PHI 552,"M001-SEC Regular",TuTh 9:30AM - 10:50AM,Hall of Languages 201,M. Abreu Zavaleta,01/14/2025 - 04/24/2025,N/A
PHI 575,"M001-SEC Regular",TuTh 3:30PM - 4:50PM,Hall of Languages 205,J. Hunt,01/14/2025 - 04/24/2025,N/A
PHI 600,"M001-SEC Regular",Tu 6:30PM - 8:20PM,Hall of Languages 538,W. Bradley,01/14/2025 - 04/22/2025,N/A
PHI 687,"M001-SEC Regular",TuTh 2:00PM - 3:20PM,Hall of Languages 538,K. Edwards,01/14/2025 - 04/24/2025,N/A
PHI 710,"M001-SEC Regular",Th 3:30PM - 6:15PM,Hall of Languages 538,C. Noble,01/16/2025 - 04/24/2025,N/A
PHI 750,"M001-SEC Regular",Tu 3:30PM - 6:15PM,Hall of Languages 538,M. Abreu Zavaleta,01/14/2025 - 04/22/2025,N/A
PHI 750,"M002-SEC Regular",We 3:45PM - 6:30PM,FALK ROOM 556,J. Dowell,01/15/2025 - 04/23/2025,N/A
PHI 750,"M003-SEC Regular",Mo 3:45PM - 6:30PM,Hall of Languages 538,E. Shumener,01/13/2025 - 04/28/2025,N/A
PHI 999,"M001-SEC Regular",TBA,TBA,Staff,01/13/2025 - 04/28/2025,N/A
MAT 100,"M001-SEC Regular",MoWe 2:15PM - 3:35PM,Lyman Hall 126,N. Fonger,01/13/2025 - 04/28/2025,N/A
MAT 118,"M001-SEC Regular",MoWe 2:15PM - 3:35PM,Carnegie 120,S. Caviness,01/13/2025 - 04/28/2025,N/A
MAT 118,"M002-SEC Regular",MoWe 3:45PM - 5:05PM,Carnegie 120,B. Odiwuor,01/13/2025 - 04/28/2025,N/A
MAT 121,"M100-SEC Regular",MoWeFr 10:35AM - 11:30AM,Life Science Building 001,J. Masingila,01/13/2025 - 04/28/2025,N/A
MAT 121,"M103-RECRegular",Tu 11:00AM - 11:55AM,Carnegie 124,R. Ayine,01/14/2025 - 04/22/2025,N/A
MAT 121,"M109-RECRegular",Tu 3:30PM - 4:25PM,Carnegie 124,M. Oluoch,01/14/2025 - 04/22/2025,N/A
MAT 121,"U701-SEC Eight Wk 1","TBA Th 8:00PM - 9:30PM","ONLINE ASYNCHRONOUS ONLINE SYNCHRONOUS","M. Mesanovic M. Mesanovic","01/13/2025 - 03/06/2025 01/16/2025 - 03/06/2025",N/A
MAT 122,"M100-SEC Regular",TuTh 8:00AM - 9:20AM,Physics Building Stolk,X. Au,01/14/2025 - 04/24/2025,N/A
MAT 122,"M101-RECRegular",Mo 10:35AM - 11:30AM,Carnegie 124,X. Duan,01/13/2025 - 04/28/2025,N/A
MAT 122,"M103-RECRegular",Fr 10:35AM - 11:30AM,Carnegie 124,T. Kisakye,01/17/2025 - 04/25/2025,N/A
MAT 122,"M104-RECRegular",Mo 12:45PM - 1:40PM,Carnegie 124,X. Duan,01/13/2025 - 04/28/2025,N/A
MAT 122,"M105-RECRegular",We 12:45PM - 1:40PM,Carnegie 124,J. Yu,01/15/2025 - 04/23/2025,N/A
MAT 122,"M106-RECRegular",We 2:15PM - 3:10PM,Carnegie 124,J. Yu,01/15/2025 - 04/23/2025,N/A
MAT 122,"M200-SEC Regular",TuTh 2:00PM - 3:20PM,Physics Building Stolk,X. Au,01/14/2025 - 04/24/2025,N/A
MAT 122,"M201-RECRegular",Mo 8:25AM - 9:20AM,Carnegie 124,T. Kisakye,01/13/2025 - 04/28/2025,N/A
MAT 122,"M202-RECRegular",We 8:25AM - 9:20AM,Carnegie 124,T. Kisakye,01/15/2025 - 04/23/2025,N/A
MAT 122,"M203-RECRegular",Fr 8:25AM - 9:20AM,Carnegie 124,T. Kisakye,01/17/2025 - 04/25/2025,N/A
MAT 122,"M204-RECRegular",Mo 11:40AM - 12:35PM,Carnegie 124,E. Downing,01/13/2025 - 04/28/2025,N/A
MAT 122,"M205-RECRegular",We 11:40AM - 12:35PM,Carnegie 124,E. Downing,01/15/2025 - 04/23/2025,N/A
MAT 122,"M206-RECRegular",Fr 11:40AM - 12:35PM,Carnegie 124,E. Downing,01/17/2025 - 04/25/2025,N/A
MAT 122,"U703-SEC Eight Wk 2","TBA Th 8:00PM - 9:30PM","ONLINE ASYNCHRONOUS ONLINE SYNCHRONOUS","M. Mesanovic M. Mesanovic","03/10/2025 - 05/01/2025 03/13/2025 - 05/01/2025",N/A
MAT 122,"U800-SEC Regular",TBA,ONLINE ASYNCHRONOUS,R. Margrey,01/13/2025 - 04/28/2025,N/A
MAT 194,"M001-SEC Regular","MoWeFr 10:35AM - 11:30AM Tu 5:00PM - 6:20PM","Carnegie 115 Carnegie 120","J. Appiah J. Appiah","01/13/2025 - 04/28/2025 01/14/2025 - 04/22/2025",N/A
MAT 221,"M100-SEC Regular",TuTh 2:00PM - 3:20PM,Life Science Building 001,T. John,01/14/2025 - 04/24/2025,N/A
MAT 221,"M103-RECRegular",We 8:25AM - 9:20AM,Carnegie 110,E. Shevchenko,01/15/2025 - 04/23/2025,N/A
MAT 221,"M107-RECRegular",We 2:15PM - 3:10PM,Carnegie 119,A. Sun,01/15/2025 - 04/23/2025,N/A
MAT 221,"M108-RECRegular",Fr 10:35AM - 11:30AM,Carnegie 200,C. Yin,01/17/2025 - 04/25/2025,N/A
MAT 221,"M109-RECRegular",We 11:40AM - 12:35PM,Carnegie 200,A. Sun,01/15/2025 - 04/23/2025,N/A
MAT 221,"M200-SEC Regular",TuTh 3:30PM - 4:50PM,Life Science Building 001,T. John,01/14/2025 - 04/24/2025,N/A
MAT 221,"M201-RECRegular",Fr 9:30AM - 10:25AM,Carnegie 200,C. Yin,01/17/2025 - 04/25/2025,N/A
MAT 221,"M202-RECRegular",We 9:30AM - 10:25AM,Carnegie 200,E. Shevchenko,01/15/2025 - 04/23/2025,N/A
MAT 221,"M206-RECRegular",We 5:15PM - 6:10PM,Carnegie 200,M. Donaghy-Robinson,01/15/2025 - 04/23/2025,N/A
MAT 221,"M208-RECRegular",We 10:35AM - 11:30AM,Carnegie 200,A. Sun,01/15/2025 - 04/23/2025,N/A
MAT 221,"M209-RECRegular",Fr 12:45PM - 1:40PM,Carnegie 100,C. Yin,01/17/2025 - 04/25/2025,N/A
MAT 222,"M004-SEC Regular",MoWe 3:45PM - 5:05PM,Carnegie 122,Y. Zhang,01/13/2025 - 04/28/2025,N/A
MAT 222,"U800-SEC Regular",TBA,ONLINE ASYNCHRONOUS,R. Margrey,01/13/2025 - 04/28/2025,N/A
MAT 284,"M100-SEC Regular",TuTh 12:30PM - 1:50PM,HB CROUSE GIFFORD,M. Alan,01/14/2025 - 04/24/2025,N/A
MAT 284,"M101-RECRegular",Mo 8:25AM - 9:20AM,Carnegie 100,L. Wickham,01/13/2025 - 04/28/2025,N/A
MAT 284,"M102-RECRegular",We 8:25AM - 9:20AM,Carnegie 100,L. Wickham,01/15/2025 - 04/23/2025,N/A
MAT 284,"M103-RECRegular",Fr 8:25AM - 9:20AM,Carnegie 100,L. Wickham,01/17/2025 - 04/25/2025,N/A
MAT 284,"M104-RECRegular",Mo 10:35AM - 11:30AM,Carnegie 110,J. Liao,01/13/2025 - 04/28/2025,N/A
MAT 284,"M105-RECRegular",We 10:35AM - 11:30AM,Carnegie 110,T. Scheuing,01/15/2025 - 04/23/2025,N/A
MAT 284,"M106-RECRegular",Fr 10:35AM - 11:30AM,Carnegie 110,M. Kramer,01/17/2025 - 04/25/2025,N/A
MAT 284,"M107-RECRegular",We 11:40AM - 12:35PM,Carnegie 119,T. Sentagne,01/15/2025 - 04/23/2025,N/A
MAT 284,"M108-RECRegular",Mo 5:15PM - 6:10PM,Carnegie 119,F. Jarrin Acosta,01/13/2025 - 04/28/2025,N/A
MAT 284,"M109-RECRegular",Mo 2:15PM - 3:10PM,Carnegie 115,J. Liao,01/13/2025 - 04/28/2025,N/A
MAT 284,"M111-RECRegular",Fr 11:40AM - 12:35PM,Carnegie 120,M. Djellouli,01/17/2025 - 04/25/2025,N/A
MAT 284,"M112-RECRegular",We 5:15PM - 6:10PM,Carnegie 119,T. Sentagne,01/15/2025 - 04/23/2025,N/A
MAT 284,"M200-SEC Regular",TuTh 9:30AM - 10:50AM,Grant Auditorium,A. Bourhim,01/14/2025 - 04/24/2025,N/A
MAT 284,"M201-RECRegular",We 3:45PM - 4:40PM,Carnegie 100,T. Sentagne,01/15/2025 - 04/23/2025,N/A
MAT 284,"M202-RECRegular",Mo 11:40AM - 12:35PM,Carnegie 110,F. Jarrin Acosta,01/13/2025 - 04/28/2025,N/A
MAT 284,"M203-RECRegular",Fr 11:40AM - 12:35PM,Carnegie 110,T. Scheuing,01/17/2025 - 04/25/2025,N/A
MAT 284,"M204-RECRegular",We 3:45PM - 4:40PM,Carnegie 110,M. Djellouli,01/15/2025 - 04/23/2025,N/A
MAT 284,"M205-RECRegular",Mo 9:30AM - 10:25AM,Carnegie 114,J. Liao,01/13/2025 - 04/28/2025,N/A
MAT 284,"M207-RECRegular",Fr 9:30AM - 10:25AM,Carnegie 114,M. Kramer,01/17/2025 - 04/25/2025,N/A
MAT 284,"M208-RECRegular",Mo 8:25AM - 9:20AM,Carnegie 200,M. Perry,01/13/2025 - 04/28/2025,N/A
MAT 284,"M209-RECRegular",We 8:25AM - 9:20AM,Carnegie 200,M. Perry,01/15/2025 - 04/23/2025,N/A
MAT 284,"M210-RECRegular",We 11:40AM - 12:35PM,Carnegie 110,M. Djellouli,01/15/2025 - 04/23/2025,N/A
MAT 284,"M211-RECRegular",Fr 12:45PM - 1:40PM,Carnegie 200,T. Scheuing,01/17/2025 - 04/25/2025,N/A
MAT 284,"M212-RECRegular",Fr 8:25AM - 9:20AM,Carnegie 120,M. Perry,01/17/2025 - 04/25/2025,N/A
MAT 284,"U001-SEC Regular",TuTh 6:30PM - 8:20PM,Carnegie 115,B. Parthasarathy,01/14/2025 - 04/24/2025,N/A
MAT 285,"M001-SEC Regular",MoWe 12:45PM - 2:05PM,Carnegie 200,S. Traver,01/13/2025 - 04/28/2025,N/A
MAT 285,"M002-SEC Regular",MoWe 2:15PM - 3:35PM,Carnegie 200,R. Maharjan,01/13/2025 - 04/28/2025,N/A
MAT 285,"M003-SEC Regular",TuTh 5:00PM - 6:20PM,Carnegie 200,E. Israel,01/14/2025 - 04/24/2025,N/A
MAT 285,"M004-SEC Regular",MoWe 8:00AM - 9:20AM,Carnegie 114,K. Schmitz,01/13/2025 - 04/28/2025,N/A
MAT 285,"M005-SEC Regular",TuTh 3:30PM - 4:50PM,Carnegie 120,S. Diaz,01/14/2025 - 04/24/2025,N/A
MAT 285,"M006-SEC Regular",TuTh 8:00AM - 9:20AM,Carnegie 114,M. Vance,01/14/2025 - 04/24/2025,N/A
MAT 285,"M007-SEC Regular",MoWeFr 9:30AM - 10:25AM,Lyman Hall 126,J. Beckmann,01/13/2025 - 04/28/2025,N/A
MAT 285,"M008-SEC Regular",MoWe 5:15PM - 6:35PM,Carnegie 219,J. Wei,01/13/2025 - 04/28/2025,N/A
MAT 286,"M001-SEC Regular",TuTh 8:00AM - 9:20AM,Carnegie 219,A. Bourhim,01/14/2025 - 04/24/2025,N/A
MAT 286,"M002-SEC Regular",TuTh 12:30PM - 1:50PM,Carnegie 219,A. Bourhim,01/14/2025 - 04/24/2025,N/A
MAT 286,"M003-SEC Regular",TuTh 3:30PM - 4:50PM,Carnegie 219,A. Bourhim,01/14/2025 - 04/24/2025,N/A
MAT 292,"M001-SEC Regular",Mo 2:15PM - 3:10PM,Carnegie 109,D. Graysay,01/13/2025 - 04/28/2025,N/A
MAT 295,"M003-SEC Regular","TuTh 11:00AM - 12:20PM Fr 12:45PM - 2:05PM","Carnegie 119 Carnegie 110","S. Wehrli C. Monahan","01/14/2025 - 04/24/2025 01/17/2025 - 04/25/2025",N/A
MAT 295,"M004-SEC Regular","TuTh 11:00AM - 12:20PM Fr 12:45PM - 2:05PM","Lyman Hall 126 Carnegie 219","X. Au A. Krause","01/14/2025 - 04/24/2025 01/17/2025 - 04/25/2025",N/A
MAT 295,"M005-SEC Regular","TuTh 12:30PM - 1:50PM Fr 8:00AM - 9:20AM","Lyman Hall 126 Carnegie 219","X. Au A. Krause","01/14/2025 - 04/24/2025 01/17/2025 - 04/25/2025",N/A
MAT 295,"M006-SEC Regular","MoWeFr 10:35AM - 11:30AM Th 8:00AM - 9:20AM","Carnegie 119 Carnegie 100","K. He K. He","01/13/2025 - 04/28/2025 01/16/2025 - 04/24/2025",N/A
MAT 296,"M004-SEC Regular","TuTh 12:30PM - 1:50PM We 2:15PM - 3:35PM","Carnegie 100 Carnegie 115","K. Shaw C. Sato","01/14/2025 - 04/24/2025 01/15/2025 - 04/23/2025",N/A
MAT 296,"M005-SEC Regular","TuTh 2:00PM - 3:20PM We 5:15PM - 6:35PM","Carnegie 100 Carnegie 110","K. Shaw K. Pollicove","01/14/2025 - 04/24/2025 01/15/2025 - 04/23/2025",N/A
MAT 296,"M006-SEC Regular","TuTh 8:00AM - 9:20AM Fr 12:45PM - 2:05PM","Lyman Hall 126 Carnegie 115","J. Ryan K. Pollicove","01/14/2025 - 04/24/2025 01/17/2025 - 04/25/2025",N/A
MAT 296,"M007-SEC Regular","TuTh 9:30AM - 10:50AM Fr 8:00AM - 9:20AM","Lyman Hall 126 Lyman Hall 126","J. Ryan K. Pollicove","01/14/2025 - 04/24/2025 01/17/2025 - 04/25/2025",N/A
MAT 296,"M100-SEC Regular",TuTh 2:00PM - 3:20PM,HB CROUSE GIFFORD,J. Meyer,01/14/2025 - 04/24/2025,N/A
MAT 296,"M105-RECRegular",We 8:00AM - 9:20AM,Lyman Hall 126,K. Pollicove,01/15/2025 - 04/23/2025,N/A
MAT 296,"M106-RECRegular",Fr 8:00AM - 9:20AM,Carnegie 200,J. Komissar,01/17/2025 - 04/25/2025,N/A
MAT 296,"M107-RECRegular",Mo 8:00AM - 9:20AM,Carnegie 120,P. Klingert,01/13/2025 - 04/28/2025,N/A
MAT 296,"M109-RECRegular",We 8:00AM - 9:20AM,Carnegie 120,P. Klingert,01/15/2025 - 04/23/2025,N/A
MAT 296,"U800-SEC Winterlude",TBA,ONLINE ASYNCHRONOUS,J. Meyer,12/18/2024 - 01/10/2025,N/A
MAT 296,"U801-SEC Winterlude",TBA,ONLINE ASYNCHRONOUS,J. Meyer,12/18/2024 - 01/10/2025,N/A
MAT 331,"M001-SEC Regular",TuTh 9:30AM - 10:50AM,Carnegie 119,A. Lutoborski,01/14/2025 - 04/24/2025,N/A
MAT 331,"M002-SEC Regular",TuTh 12:30PM - 1:50PM,Carnegie 200,A. Lutoborski,01/14/2025 - 04/24/2025,N/A
MAT 331,"M003-SEC Regular",TuTh 9:30AM - 10:50AM,Carnegie 219,U. Banerjee,01/14/2025 - 04/24/2025,N/A
MAT 331,"M005-SEC Regular",TuTh 11:00AM - 12:20PM,Carnegie 219,L. Shen,01/14/2025 - 04/24/2025,N/A
MAT 375,"M002-SEC Regular",MoWe 12:45PM - 2:05PM,Carnegie 114,H. Rahmati,01/13/2025 - 04/28/2025,N/A
MAT 375,"M003-SEC Regular",MoWe 2:15PM - 3:35PM,Carnegie 114,H. Rahmati,01/13/2025 - 04/28/2025,N/A
MAT 397,"M002-SEC Regular","MoWe 12:45PM - 2:05PM Th 3:30PM - 4:50PM","Carnegie 122 Carnegie 115","G. Verchota E. Cochran","01/13/2025 - 04/28/2025 01/16/2025 - 04/24/2025",N/A
MAT 397,"M006-SEC Regular","Mo 5:15PM - 6:35PM TuTh 3:30PM - 4:50PM","Carnegie 110 Carnegie 100","E. Cochran I. Pitici","01/13/2025 - 04/28/2025 01/14/2025 - 04/24/2025",N/A
MAT 397,"M007-SEC Regular","Tu 8:00AM - 9:20AM MoWe 12:45PM - 2:05PM","Carnegie 100 Lyman Hall 126","E. Javor S. Du","01/14/2025 - 04/22/2025 01/17/2025 - 04/28/2025",N/A
MAT 397,"M008-SEC Regular","MoWe 3:45PM - 5:05PM Tu 3:30PM - 4:50PM","Carnegie 114 Carnegie 200","S. Du","01/13/2025 - 04/28/2025 01/14/2025 - 04/22/2025",N/A
MAT 412,"M002-SEC Regular",MoWe 12:45PM - 2:05PM,Carnegie 110,Y. Zhao,01/13/2025 - 04/28/2025,N/A
MAT 414,"M002-SEC Regular",TuTh 11:00AM - 12:20PM,Carnegie 114,M. McDermott,01/14/2025 - 04/24/2025,N/A
MAT 422,"M001-SEC Regular",TuTh 9:30AM - 10:50AM,Carnegie 100,T. John,01/14/2025 - 04/24/2025,N/A
MAT 485,"M001-SEC Regular",TuTh 8:00AM - 9:20AM,Carnegie 122,M. Alan,01/14/2025 - 04/24/2025,N/A
MAT 485,"M004-SEC Regular",TuTh 12:30PM - 1:50PM,Carnegie 122,I. Pitici,01/14/2025 - 04/24/2025,N/A
MAT 512,"M001-SEC Regular",TuTh 9:30AM - 10:50AM,Carnegie 110,J. Kyeong,01/14/2025 - 04/24/2025,N/A
MAT 517,"M001-SEC Regular",MoWe 3:45PM - 5:05PM,Carnegie 219,G. Verchota,01/13/2025 - 04/28/2025,N/A
MAT 521,"M001-SEC Regular",TuTh 11:00AM - 12:20PM,Carnegie 100,Y. Yuan,01/14/2025 - 04/24/2025,N/A
MAT 521,"M002-SEC Regular",MoWeFr 10:35AM - 11:30AM,Carnegie 219,D. Quinn,01/13/2025 - 04/28/2025,N/A
MAT 525,"M001-SEC Regular",MoWe 12:45PM - 2:05PM,Carnegie 119,W. Li,01/13/2025 - 04/28/2025,N/A
MAT 526,"M001-SEC Regular",MoWeFr 11:40AM - 12:35PM,Carnegie 219,P. Gaudreau Lamarre,01/13/2025 - 04/28/2025,N/A
MAT 527,"M001-SEC Regular",MoWe 12:45PM - 2:05PM,Carnegie 219,R. Maharjan,01/13/2025 - 04/28/2025,N/A
MAT 531,"M001-SEC Regular",MoWe 12:45PM - 2:05PM,Carnegie 120,J. Graver,01/13/2025 - 04/28/2025,N/A
MAT 531,"M002-SEC Regular",TuTh 12:30PM - 1:50PM,Carnegie 119,S. Wehrli,01/14/2025 - 04/24/2025,N/A
MAT 532,"M001-SEC Regular",TuTh 2:00PM - 3:20PM,Carnegie 219,M. McDermott,01/14/2025 - 04/24/2025,N/A
MAT 534,"M001-SEC Regular",TuTh 12:30PM - 1:50PM,Carnegie 120,S. Diaz,01/14/2025 - 04/24/2025,N/A
MAT 541,"M001-SEC Regular",TuTh 9:30AM - 10:50AM,Carnegie 200,J. Meyer,01/14/2025 - 04/24/2025,N/A
MAT 551,"M001-SEC Regular",TuTh 11:00AM - 12:20PM,Carnegie 120,J. Graver,01/14/2025 - 04/24/2025,N/A
MAT 581,"M001-SEC Regular",MoWeFr 9:30AM - 10:25AM,Carnegie 124,L. Kovalev,01/13/2025 - 04/28/2025,N/A
MAT 598,"M001-SEC Regular",TuTh 12:30PM - 1:50PM,Carnegie 110,J. Liu,01/14/2025 - 04/24/2025,N/A
MAT 599,"M001-SEC Regular",TuTh 3:30PM - 4:50PM,Carnegie 119,H. Rahmati,01/14/2025 - 04/24/2025,N/A
MAT 602,"M001-SEC Regular",TuTh 9:30AM - 10:50AM,Carnegie 109,J. Onninen,01/14/2025 - 04/24/2025,N/A
MAT 632,"M001-SEC Regular",MoWeFr 9:30AM - 10:25AM,Carnegie 219,D. Quinn,01/13/2025 - 04/28/2025,N/A
MAT 645,"M001-SEC Regular",TuTh 11:00AM - 12:20PM,Carnegie 115,L. Kennard,01/14/2025 - 04/24/2025,N/A
MAT 652,"M001-SEC Regular",MoWe 3:45PM - 5:05PM,Carnegie 200,P. Chen,01/13/2025 - 04/28/2025,N/A
MAT 682,"M001-SEC Regular",TuTh 2:00PM - 3:20PM,Carnegie 200,L. Shen,01/14/2025 - 04/24/2025,N/A
MAT 702,"M001-SEC Regular",MoWeFr 11:40AM - 12:35PM,Carnegie 115,L. Kovalev,01/13/2025 - 04/28/2025,N/A
MAT 712,"M001-SEC Regular",TuTh 12:30PM - 1:50PM,Carnegie 109,Y. Yuan,01/14/2025 - 04/24/2025,N/A
MAT 732,"M001-SEC Regular",MoWe 3:45PM - 5:05PM,Carnegie 109,J. Pollitz,01/13/2025 - 04/28/2025,N/A
MAT 750,"M001-SEC Regular",MoWe 2:15PM - 3:35PM,Carnegie 219,T. John,01/13/2025 - 04/28/2025,N/A
MAT 755,"M001-SEC Regular",TuTh 2:00PM - 3:20PM,Carnegie 120,J. Liu,01/14/2025 - 04/24/2025,N/A
MAT 761,"M001-SEC Regular",TuTh 2:00PM - 3:20PM,Carnegie 110,L. Kennard,01/14/2025 - 04/24/2025,N/A
MAT 771,"M001-SEC Regular",MoWe 12:45PM - 2:05PM,Carnegie 100,W. Wylie,01/13/2025 - 04/28/2025,N/A
MAT 800,"M001-SEC Regular",MoWe 2:15PM - 3:35PM,Carnegie 100,Y. Zhao,01/13/2025 - 04/28/2025,N/A
MAT 999,"M001-SEC Regular",TBA,TBA,Staff,01/13/2025 - 04/28/2025,N/A
MAE 251,"M001-SEC Regular",TuTh 2:00PM - 3:20PM,Sims Hall 331,S. Maroo,01/14/2025 - 04/24/2025,N/A
MAE 251,"M002-RECRegular",We 8:25AM - 9:20AM,Link Hall 058,M. Erdman,01/15/2025 - 04/23/2025,N/A
MAE 251,"M003-RECRegular",Th 9:30AM - 10:25AM,Life Science Building 215,M. Erdman,01/16/2025 - 04/24/2025,N/A
MAE 251,"M004-RECRegular",We 11:40AM - 12:35PM,Sims Hall 241,M. Erdman,01/15/2025 - 04/23/2025,N/A
MAE 251,"M005-RECRegular",Th 5:00PM - 5:55PM,Link Hall 200,S. Maroo,01/16/2025 - 04/24/2025,N/A
MAE 251,"M006-RECRegular",Tu 5:00PM - 5:55PM,Link Hall 200,S. Maroo,01/14/2025 - 04/22/2025,N/A
MAE 251,"M007-SEC Regular",TuTh 3:30PM - 4:50PM,Lyman Hall 132,M. Erdman,01/14/2025 - 04/24/2025,N/A
MAE 284,"M001-SEC Regular",TuTh 12:30PM - 1:50PM,Hall of Languages 107,J. Anderson,01/14/2025 - 04/24/2025,N/A
MAE 284,"M005-LAB Regular",Th 9:30AM - 10:25AM,Link Hall 202,J. Anderson,01/16/2025 - 04/24/2025,N/A
MAE 284,"M006-LAB Regular",We 8:25AM - 9:20AM,Link Hall 274,J. Anderson,01/15/2025 - 04/23/2025,N/A
MAE 321,"M001-SEC Regular",MoWe 12:45PM - 2:05PM,HB CROUSE KITTREDGE,Z. Gan,01/13/2025 - 04/28/2025,N/A
MAE 321,"M003-RECRegular",Th 5:00PM - 5:55PM,Link Hall 373,D. Carnegie,01/16/2025 - 04/24/2025,N/A
MAE 321,"M004-RECRegular",Fr 12:45PM - 1:40PM,Link Hall 373,D. Carnegie,01/17/2025 - 04/25/2025,N/A
MAE 321,"M005-RECRegular",Tu 11:00AM - 11:55AM,Link Hall 373,Z. Gan,01/14/2025 - 04/22/2025,N/A
MAE 321,"M006-SEC Regular",MoWe 12:45PM - 2:05PM,School of Management 204,D. Carnegie,01/13/2025 - 04/28/2025,N/A
MAE 322,"M001-SEC Regular",TuTh 3:30PM - 4:50PM,MARLEY ROOM 216,B. Dong,01/14/2025 - 04/24/2025,N/A
MAE 322,"M002-RECRegular",Mo 10:35AM - 11:30AM,Hall of Languages 205,B. Dong,01/13/2025 - 04/28/2025,N/A
MAE 322,"M003-RECRegular",Mo 2:15PM - 3:10PM,Smith Hall 337,B. Dong,01/13/2025 - 04/28/2025,N/A
MAE 322,"M004-RECRegular",Fr 10:35AM - 11:30AM,Link Hall 200,V. Duenas,01/17/2025 - 04/25/2025,N/A
MAE 355,"M001-SEC Regular","TuTh 2:00PM - 3:20PM We 11:40AM - 12:35PM","Link Hall room 160 Link Hall room 160","I. Shapiro I. Shapiro","01/14/2025 - 04/24/2025  01/15/2025 - 04/23/2025",N/A
MAE 355,"M002-RECRegular",Fr 9:30AM - 10:25AM,Link Hall 369,I. Shapiro,01/17/2025 - 04/25/2025,N/A
MAE 355,"M003-RECRegular",Th 12:30PM - 1:25PM,Link Hall 246,I. Shapiro,01/16/2025 - 04/24/2025,N/A
MAE 355,"M004-RECRegular",Th 11:00AM - 11:55AM,Link Hall 246,I. Shapiro,01/16/2025 - 04/24/2025,N/A
MAE 500,"M002-SEC Regular",MoWeFr 11:40AM - 12:35PM,Sims Hall 331,D. Carnegie,01/13/2025 - 04/28/2025,N/A
MAE 530,"M001-SEC Regular",MoWe 3:45PM - 5:05PM,SCITC3-212,X. Liu,01/13/2025 - 04/28/2025,N/A
MAE 548,"M001-SEC Regular",TuTh 9:30AM - 10:50AM,MARLEY ROOM 219,J. Anderson,01/14/2025 - 04/24/2025,N/A
